Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2019-06-10,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,39.14803898922481,32.38235186629758,28.51637950720879,23.690485978549045,17.404920066929556,15.4751687757797,14.508064399068969,16.928056188621436,20.798160509868787,25.637389904831956,-999,-999,-999,-999,-999,-999
2019-06-11,Home,LW1,Lewisham - Catford,10.973091279410394,10.972914076504738,12.586186436066223,16.445095850240072,16.441577690259926,28.03597161556695,28.031421127386384,32.856419433101394,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12.601450582358412,14.05998678316358,9.696996930879319,10.66769450765595,11.151497319866321,10.18439953480459
2019-06-11,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,25.140554381331697,27.564890823631195,18.858120600963765,15.48125596108033,18.87662473693225,15.011699800992671,16.468864418084884,13.073238765141785,10.655466553951216,9.690679770504524,-999,-999,-999,-999,-999,-999
2019-06-12,Home,LW1,Lewisham - Catford,10.994507499094453,6.467974443608474,3.3959389524079127,4.3655461611070026,9.703321922630145,18.429594635794906,23.761157816728034,21.337316160791417,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58.774229084901826,57.807018964362115,58.320998418977595,57.83495371687574,47.65323114444287,37.47855128714469
2019-06-12,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,24.242941325583935,28.439195011522003,34.441434238022396,28.631633855646896,22.818970031464307,25.252018290646653,27.689752797141104,34.9778774756191,41.29410502581518,53.43223066128546,-999,-999,-999,-999,-999,-999
2019-06-13,Home,LW1,Lewisham - Catford,26.638141091042915,28.58839141225011,23.399050105648808,23.88875467918149,37.96950569563627,48.62099384767803,43.79060374346166,39.92943048517851,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27.904209551085483,29.379790514530345,25.984187258172245,27.946152713548717,30.36271892452355,24.54580674361613
2019-06-13,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,40.913807651024285,37.04419703743076,39.477777807449414,39.975829692623506,35.62015603432639,35.62578020074494,32.70753454476897,37.111616926253745,35.65182983737294,27.402766820481002,-999,-999,-999,-999,-999,-999
2019-06-14,Home,LW1,Lewisham - Catford,20.335945574187512,14.505406720312045,10.948209900699558,16.30513674478495,32.37711719492341,39.66718756301769,40.15585290398988,40.64210917622905,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39.80938348757621,48.60299404766923,44.74477167139536,41.81948149402362,43.78770458856537,36.95874099906428
2019-06-14,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,39.19435441521486,31.415261400082223,31.43255242888904,27.540246162589607,32.417205102575856,35.367898628580356,39.74104460895107,31.97535931701161,30.521877419980044,32.494184163953605,-999,-999,-999,-999,-999,-999
2019-06-15,Home,LW1,Lewisham - Catford,29.00790914795755,23.810279303896888,28.204236348269813,20.889601588302572,39.45034169089768,39.45176810731226,32.604378382763564,32.599502957515654,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46.88073399607377,47.891904235332674,58.63045231026319,47.88847206096817,54.72335797798751,48.89522889668907
2019-06-15,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,28.234470942384114,22.870443928291106,26.78397587398943,27.770134445818538,34.13156010313174,29.25748891083824,39.026151093357015,29.757534985125275,28.787706714443033,26.35892520822844,-999,-999,-999,-999,-999,-999
2019-06-16,Home,LW1,Lewisham - Catford,35.075970625708976,25.9545930752676,30.855085101476586,29.40653221652564,33.31613415861508,26.958128973672817,22.55544393436731,20.11594666540904,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44.19178103844793,51.060368430257434,30.991973679607543,44.657974669584824,51.07500719713324,28.584774071677522
2019-06-16,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,22.570928444035182,20.613049257709644,20.61521829829392,18.667734563664386,20.146712022392038,21.137058093220233,26.03382822256984,22.141402479142393,20.67696780075877,27.53589165311474,-999,-999,-999,-999,-999,-999
2019-06-17,Home,LW1,Lewisham - Catford,21.571880589120433,17.655446870813023,15.373753408753343,31.07600534178894,40.89208566427445,51.17016206772038,49.70568376846181,45.30986159100397,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.269571670986153,26.31232451760391,30.259984961689977,32.72972875355185,30.27845585109455,18.483110173143896
2019-06-17,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,37.96540878771924,32.585609725620756,30.633738025302254,33.59791615320453,32.135999742854615,32.630118752612425,33.60907443097783,31.17208692037078,32.652715931867526,31.20582984061897,-999,-999,-999,-999,-999,-999
2019-06-18,Home,LW1,Lewisham - Catford,19.80414498442757,23.094711214376172,15.555696764893508,26.876088808334366,34.75301606488703,37.19711723630035,34.202818333341035,28.8691842316984,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,47.70258959375183,42.29886803686354,44.28212026414006,46.75652178570965,41.83699997134455,23.106957024693504
2019-06-18,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,30.293584713728148,23.470756622421774,34.794785389592334,37.26530638517859,37.77065131053509,31.87952311993973,38.288907692943816,48.15992453589265,50.64339622107482,51.631737775474505,-999,-999,-999,-999,-999,-999
2019-06-19,Home,LW1,Lewisham - Catford,19.991731019940893,23.948290895817195,23.627168165983903,23.141258605786987,15.25269712294953,16.24674185003828,30.554893496550815,35.49497049975949,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,42.01795284625715,35.12667854265232,49.94857861841772,34.642810971329055,30.70255174726299,20.332067345532874
2019-06-19,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,36.99653210926699,39.46485101344555,40.94231260040303,36.02465557369903,36.535390986668304,40.49184257249727,41.485299831948964,33.10630175301282,36.569220220926965,31.151357488667713,-999,-999,-999,-999,-999,-999
2019-06-20,Home,LW1,Lewisham - Catford,17.53826201077946,17.547143746176424,13.432999229487299,14.430648164309137,24.817818913421892,26.8017636204444,27.752600846015195,25.821433136275694,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33.84760171812508,28.90771973768215,28.426139285350175,26.454863485170055,23.983594597333532,16.55827059552265
2019-06-20,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,21.38290619350685,24.35826938284796,26.845001699965977,27.345201465428627,26.367036616563585,31.821241106560635,32.323002888084424,36.79159522493349,33.32566767527998,31.359666678007773,-999,-999,-999,-999,-999,-999
2019-06-21,Home,LW1,Lewisham - Catford,18.382923809666586,14.427381972801422,13.112039716303464,16.59013853442846,26.016318700950386,28.001154053501853,27.50905756008552,37.8789845163495,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43.00478666450369,55.92543908548219,45.51955296799699,47.002833719565764,50.003993162578645,49.52287433062502
2019-06-21,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,23.062304817560854,26.049985607574612,25.563557746321383,18.63184160510345,27.568648025455698,18.152464998944136,29.57040169526308,32.556454307125854,31.578882349254453,38.04143933050059,-999,-999,-999,-999,-999,-999
2019-06-22,Home,LW1,Lewisham - Catford,42.41424112852425,33.15225715146355,29.183548270014963,26.208357387061277,30.68901638988412,29.701100590150233,19.273400581474718,14.309332390582131,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20.866247004110722,27.347639357610596,34.8258409957548,40.312851661599055,38.332115463526826,43.81939111762537
2019-06-22,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,26.246017015924206,25.264397292832616,18.808959467805593,23.79286786562675,22.805028734869154,27.29290488374882,30.785207651043695,18.353309296280983,17.863506601436967,17.37361126005052,-999,-999,-999,-999,-999,-999
2019-06-23,Home,LW1,Lewisham - Catford,42.00259217784905,26.072780019910418,21.927887863083992,25.42312750808143,23.438671381637462,25.43920496601969,31.92103613573106,32.92892147159789,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.537557875819324,30.55074531742915,36.55026666079822,41.55152663017614,46.05463803520561,38.075997859431155
2019-06-23,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,30.44523546524444,30.457799412949953,26.975793760748033,21.49985188086914,21.00913008741213,23.012972260040616,19.03041576306518,23.52883862768758,25.53291606657966,30.031481015700773,-999,-999,-999,-999,-999,-999
2019-06-24,Home,LW1,Lewisham - Catford,33.59028393439223,32.269711259832114,37.10553404473194,45.606633365004754,51.606849935915484,47.617175001509715,46.12119037245614,43.632396921144704,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38.257555430838636,50.77309224924015,47.28426886318207,41.28992767408331,30.291103270755418,35.30497569235462
2019-06-24,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,58.628102493877606,53.64513561228376,57.153313377463725,45.68001918950976,53.18754236727797,52.199986284463044,48.71021865655888,38.72318337124561,39.233046306077,39.248523611571706,-999,-999,-999,-999,-999,-999
2019-06-25,Home,LW1,Lewisham - Catford,27.137543078328946,30.48569651961894,27.82240137538853,33.83898247583812,37.35380157653053,42.372158831513794,37.873894521494016,37.38377313386434,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,22.445944202802814,21.952648238756716,20.95772343609337,20.46400407146994,15.454986634407742,12.953614170093044
2019-06-25,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,32.8845430780519,22.371558464250093,21.37761366881013,15.372461266001563,13.375212660358681,12.380125520928138,14.39250115150779,15.903798395595821,18.41817593511246,18.927479054000685,-999,-999,-999,-999,-999,-999
2019-06-26,Home,LW1,Lewisham - Catford,7.9419620428497995,6.612028991907468,5.948628953687679,5.45316687714305,6.463614255457687,12.996869579359453,15.01244795076612,18.03280605536274,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.07312718854191,13.068434661186528,9.550345832741723,7.540050438819325,7.540375577572072,5.027043597674465
2019-06-26,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,21.053467268618853,16.541278371241408,16.0465870565148,14.546875481669058,11.037457546740828,10.039607031780816,30.563036137311382,11.056110161979882,11.55910780527205,14.072563340647424,-999,-999,-999,-999,-999,-999
2019-06-27,Home,LW1,Lewisham - Catford,4.021783892835519,4.021978368069313,5.027652495739917,5.530657225367944,8.547830087061321,12.570815381587156,12.068345433340827,13.577336368411592,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.092818819626507,13.584006953190595,11.068885510748174,10.0631150463631,7.547473065574735,5.534911440720465
2019-06-27,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,14.080793018223382,14.584305076427711,12.070142995582094,14.082536625686876,20.621678714664615,22.634441043960834,18.611229756843404,16.0966651163832,17.103504803072177,14.085800626472292,-999,-999,-999,-999,-999,-999
2019-06-28,Home,LW1,Lewisham - Catford,4.696443194062611,5.367781512356284,5.535731693049561,6.039225784202428,9.56266876254096,12.58283262359709,15.60333822544482,14.093564362496664,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18.129312975821403,21.65557238047796,23.67172253076156,28.205577632889934,33.2441322150214,35.26013826045708
