 "tick, patch-x, patch-y, monitor_type, monitor_code, no2"
20, 104, 50, Roadside, GB6, 148
20, 101, 59, Roadside, GN0, 137
20, 65, 64, Kerbside, WM6, 177
20, 87, 52, Roadside, LW4, 161
20, 47, 73, Roadside, BT4, 124
20, 46, 66, Roadside, EI1, 157
20, 67, 64, Roadside, WMB, 155
20, 123, 67, Roadside, HV1, 93
20, 49, 70, Roadside, BT6, 121
20, 54, 68, Roadside, BT8, 147
21, 123, 67, Roadside, HV1, 87
21, 101, 59, Roadside, GN0, 144
21, 118, 81, Roadside, HV3, 119
21, 54, 68, Roadside, BT8, 244
21, 48, 43, Roadside, KT6, 141
21, 67, 64, Roadside, WMB, 281
21, 94, 81, Roadside, RB4, 94
21, 70, 75, Roadside, IS2, 122
21, 65, 64, Kerbside, WM6, 198
21, 104, 50, Roadside, GB6, 220
21, 87, 52, Roadside, LW4, 172
21, 47, 73, Roadside, BT4, 147
21, 105, 58, Roadside, GN3, 188
21, 46, 66, Roadside, EI1, 185
21, 49, 70, Roadside, BT6, 171
22, 104, 50, Roadside, GB6, 56
22, 48, 43, Roadside, KT6, 50
22, 70, 75, Roadside, IS2, 89
22, 118, 81, Roadside, HV3, 61
22, 123, 67, Roadside, HV1, 92
22, 49, 70, Roadside, BT6, 90
22, 67, 64, Roadside, WMB, 131
22, 65, 64, Kerbside, WM6, 154
22, 54, 68, Roadside, BT8, 80
22, 94, 81, Roadside, RB4, 66
22, 46, 66, Roadside, EI1, 92
22, 105, 58, Roadside, GN3, 73
22, 47, 73, Roadside, BT4, 154
22, 87, 52, Roadside, LW4, 102
22, 101, 59, Roadside, GN0, 56
23, 67, 64, Roadside, WMB, 167
23, 49, 70, Roadside, BT6, 114
23, 48, 43, Roadside, KT6, 54
23, 46, 66, Roadside, EI1, 130
23, 105, 58, Roadside, GN3, 130
23, 54, 68, Roadside, BT8, 99
23, 70, 75, Roadside, IS2, 113
23, 123, 67, Roadside, HV1, 94
23, 104, 50, Roadside, GB6, 101
23, 94, 81, Roadside, RB4, 62
23, 65, 64, Kerbside, WM6, 180
23, 47, 73, Roadside, BT4, 165
23, 101, 59, Roadside, GN0, 92
23, 118, 81, Roadside, HV3, 56
23, 87, 52, Roadside, LW4, 86
24, 65, 64, Kerbside, WM6, 125
24, 67, 64, Roadside, WMB, 111
24, 101, 59, Roadside, GN0, 42
24, 49, 70, Roadside, BT6, 47
24, 105, 58, Roadside, GN3, 61
24, 70, 75, Roadside, IS2, 44
24, 118, 81, Roadside, HV3, 22
24, 123, 67, Roadside, HV1, 36
24, 54, 68, Roadside, BT8, 49
24, 94, 81, Roadside, RB4, 20
24, 104, 50, Roadside, GB6, 42
