tick, monitor_code,no2
50,BT4,52.69542962
50,BT6,25.79672391
50,BT8,37.44279561
50,EI1,24.27392196
50,EN5,26.00385428
50,GB6,8.863716403
50,GN0,13.18126407
50,GN3,17.4768501
50,HV1,19.58248091
50,HV3,30.79074278
50,IS2,35.7389003
50,KT6,17.13203719
50,LW4,28.99459157
50,RB4,35.13349434
50,WMB,47.9784032
51,BT4,69.58829066
51,BT6,31.34187747
51,BT8,36.63256969
51,EI1,27.28186929
51,EN5,27.44851021
51,GB6,13.92118332
51,GN0,16.61075007
51,GN3,22.86217165
51,HV1,27.78840952
51,HV3,39.09348896
51,IS2,51.8069344
51,KT6,24.7665795
51,LW4,33.14718627
51,RB4,43.78736381
51,WMB,45.83549685
52,BT4,22.3624063
52,BT6,14.84380639
52,BT8,21.14385894
52,EI1,18.79104628
52,EN5,20.21126217
52,GB6,18.52832929
52,GN0,15.55705207
52,GN3,20.14639563
52,HV1,9.515022068
52,HV3,9.88293948
52,IS2,16.87800614
52,KT6,12.29205706
52,LW4,21.65078006
52,RB4,11.2711217
52,WMB,41.60945145
53,BT4,38.06032407
53,BT6,22.10159659
53,BT8,28.7145424
53,EI1,23.74971084
53,EN5,27.05167418
53,GB6,34.75955951
53,GN0,23.53409328
53,GN3,29.06334392
53,HV1,12.13800175
53,HV3,8.389790911
53,IS2,23.10405841
53,KT6,12.12629584
53,LW4,26.75264346
53,RB4,10.71749932
53,WMB,38.29115053
54,BT4,69.09889868
54,BT6,53.45998818
54,BT8,61.65584777
54,EI1,49.43053492
54,EN5,62.68994667
54,GB6,55.59114931
54,GN0,46.58948226
54,GN3,57.84499211
54,HV1,48.82550644
54,HV3,44.97243157
54,IS2,51.33235425
54,KT6,48.32583649
54,LW4,56.01208001
54,RB4,46.73568413
54,WMB,73.33869753
55,BT4,54.43488502
55,BT6,51.26811116
55,BT8,70.79472564
55,EI1,45.3758737
55,EN5,59.12080568
55,GB6,65.65484141
55,GN0,54.65077104
55,GN3,51.22206605
55,HV1,24.45272289
55,HV3,21.43722566
55,IS2,59.54386185
55,KT6,35.76394303
55,LW4,59.29509627
55,RB4,26.30886977
55,WMB,111.7280197
56,BT4,93.977948
56,BT6,75.03417161
56,BT8,64.00888834
56,EI1,58.79578543
56,EN5,71.89568306
56,GB6,50.41279185
56,GN0,40.69963578
