msoa_home,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,others
Hackney,0.17688572820966372,0.5577315307835315,0.04873382307817266,0.3059401115463062,0.0613685179502915,3.2083100193130334,0.07580816923271302,0.2355468115445012,1.0531920654116202,0.22832698590329042,71.88509647492013,0.47289857949930514,1.747197805173005,0.04512391025756728,0.16515351154269625,0.08212551666877245,0.0929552551305886,3.4962005667563125,0.6822735230944172,0.03158673718029709,0.6461743948883635,0.17508077179936105,0.053246214103929386,1.2002960128512896,0.318574806418425,0.05595364871938342,1.0468747179755609,0.03248921538544844,3.3536090103424003,1.2002960128512896,0.28428063462267383,3.4167824847029946,1.6461202461960545
Hammersmith and Fulham,0.022534057154563147,0.18436955853733483,0.01843695585373348,0.8921438082556592,0.05633514288640787,1.67264160606371,0.09935470654511933,1.6808358086653694,0.0716992727645191,0.0583836935368227,0.22329202089521666,71.95329304517054,0.1044760831711564,0.09833043121991192,0.021509781829355732,0.5141862132541227,1.2875140837857215,0.5305746184574414,5.750281675714432,0.21407354296834988,0.711871351019154,0.06350507016285978,0.3339137560176175,0.13008296630134178,0.011267028577281573,0.6606575847587831,0.6340264263033903,0.0850148519922155,0.6514391068319164,0.05633514288640787,1.7853118918365256,6.359725494212845,1.5661169722421386
Haringey,0.1408407580906892,1.9870793913229847,0.03903738403600625,0.8580570098894705,0.04286457854934019,4.349223844952696,0.0995070573466826,0.35745996754539056,3.491932273965892,0.12247022442668626,2.8788157129297938,0.577140932610759,66.02675974403724,0.1615076084626925,0.12093934662135268,0.1760509476133615,0.17069287529469399,3.4896359572578914,1.10376289764551,0.04363001745200698,0.6016349774960963,0.10869232417868406,0.10639600747068369,0.5174366982027495,0.2556565934907076,0.0497535286733413,0.8504026208628027,0.030617556106671565,1.0654909525121705,0.9636875784574875,0.38042313462539423,4.818437892287437,2.548911545880408
Harrow,0.05114638447971782,2.8456790123456788,0.021164021164021166,6.898589065255732,0.030864197530864196,1.8915343915343916,0.05114638447971782,2.874779541446208,0.2830687830687831,0.06966490299823633,0.1596119929453263,0.8350970017636685,0.2257495590828924,64.96649029982363,0.04144620811287478,3.9929453262786594,0.6825396825396826,0.5123456790123456,0.8589065255731921,0.0687830687830688,0.37213403880070545,0.037037037037037035,0.05026455026455026,0.15432098765432098,0.03791887125220458,0.19135802469135804,0.4338624338624339,0.037037037037037035,0.5705467372134039,0.08289241622574955,0.28218694885361556,2.5767195767195767,6.9902998236331575
Havering,3.67742660395833,0.13483362493779996,0.4245654023339059,0.11155877301401305,0.09871747540088927,0.9133372927334307,0.06661423136807974,0.12600523282877735,0.3908569960994559,0.3579511709658261,0.5818712980946725,0.1870013964911154,0.2455898168509928,0.0232748519237869,70.3205508916676,0.06821939356972022,0.07865294788038332,0.6179874476315832,0.29294210179938684,0.024880014125427376,0.36597698197402845,0.14767492255092377,0.04895744715003451,2.256858055506509,3.2769386346490315,0.01845936531886547,0.5505706351626832,0.0232748519237869,2.0530024558981683,0.8796288864989806,0.1781730043820928,1.5891105796240712,8.278624054960753
Hillingdon,0.027644003433676213,0.4430315287133899,0.014549475491408535,2.095124470762829,0.02691652965910579,0.8271376816865752,0.045830847797936884,5.515706158792975,0.09311664314501462,0.031281372306528346,0.09093422182130334,1.0773886601388019,0.08074958897731736,2.1467751087573292,0.017459370589690243,70.643523300985,2.993554582357306,0.2793499294350439,0.6649110299573701,0.12076064657869083,0.2153322372728463,0.02473410833539451,0.07856716765360608,0.1003913808907189,0.028371477208246645,0.3804687841003332,0.25316087355050854,0.028371477208246645,0.27134771791476914,0.045103374023366456,0.26116308507078323,1.7277502146047636,8.885364682603193
Hounslow,0.016582962190846207,0.18478157869800058,0.015003632458384663,0.7351779904608484,0.030796929783000096,0.6917464228181559,0.08212514608800026,4.362898385925013,0.06870084336207713,0.05211788117123093,0.0860734704191541,1.914937300609621,0.08133548122176948,0.2961243248365394,0.007106983796076945,6.867715341609021,64.11131115954389,0.23847878960169305,1.417448434884235,0.8291481095423103,0.41141539530623206,0.027638270318077012,0.24400644366530844,0.10186676774376954,0.027638270318077012,5.029375533023785,0.3427145519441549,0.08686313528538488,0.2811206923781547,0.0473798919738463,0.6759531254935405,2.0965602198426985,8.000094759783947
Islington,0.08289920329502518,0.8307372793354102,0.03228705812543086,0.4310758571341309,0.0637014930582825,5.542902519263157,0.06719198582859935,0.21641055175964466,0.7705262790474445,0.11867675419077288,2.4346187072960026,0.5698229447542257,1.657111442707924,0.08028133371728755,0.07853608733212912,0.10733265268724312,0.1753972617084217,73.22093946612912,0.8499349895721529,0.03141443493285165,0.6937354381004738,0.12827560930914422,0.054102637939911165,0.39006256708290793,0.12914823250172344,0.06457411625086172,0.9328341928671781,0.034032304510589285,1.479096311421765,0.4947773501924134,0.28796565355114007,4.283707252371354,1.4101590792080072
Kensington and Chelsea,0.013076643661460226,0.1990555757355612,0.010170722847802398,0.8122048674173629,0.03051216854340719,2.108245550308754,0.05085361423901198,0.7555394115510352,0.07845986196876134,0.05811841627315655,0.303668725027243,2.634217217580821,0.10897203051216856,0.08572466400290593,0.03051216854340719,0.2499091899745732,0.505630221576462,0.6378496185978932,75.34907373774064,0.06974209952778787,0.6058844896476571,0.03777697057755176,0.11333091173265529,0.12059571376679987,0.049400653832183075,0.17580820922629858,0.5259716672720669,0.06393025790047221,0.9822012350163458,0.055212495459498724,0.809298946603705,8.697420995277879,1.4587722484562295
Kingston upon Thames,0.008347942232239752,0.04770252704137002,0.02027357399258226,0.13237451253980181,0.07036122738602078,0.5593121295600635,0.4436335014847412,0.29456310448045986,0.03339176892895901,0.04531740068930152,0.08824967502653452,0.8419496022801808,0.03219920575292476,0.02265870034465076,0.007155379056205503,0.40308635349957667,0.8658008658008658,0.19200267134151433,0.7024197106841735,74.71527554172182,0.742966858669338,0.053665342921541265,2.725006857238262,0.06439841150584952,0.015503321288445256,2.962326929269078,0.41381942208388495,1.204488807794593,0.2862151622482201,0.019081010816548005,2.1311103955732054,1.562257760604868,7.67652916413247
